"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401628369101849902","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283691","1","1","1","15","0","3","3","65","65","1","10","false","0","Kickoff","Josh Turbyville kickoff for 65 yds for a touchback","","2024-09-21T23:44:47.000Z"
"401628369101856201","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283691","1","2","1","14","37","3","3","25","75","1","10","false","-5","Rush","Jovantae Barnes run for a loss of 5 yards to the OU 20","-1.0670735924396633","2024-09-21T23:46:11.000Z"
"401628369101858101","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283691","1","3","1","14","18","3","3","20","80","2","15","false","4","Rush","Taylor Tatum run for 4 yds to the OU 24","-0.02869026523482444","2024-09-21T23:46:33.000Z"
"401628369101859901","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283691","1","4","1","14","0","3","3","24","76","3","11","false","6","Penalty","Tennessee Penalty, Defensive Offside (6 Yards) to the OU 30","","2024-09-21T23:47:44.000Z"
"401628369101865901","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283691","1","5","1","13","40","3","3","30","70","3","5","false","12","Pass Reception","Jackson Arnold pass complete to Deion Burks for 12 yds to the OU 42 for a 1ST down","2.17523926321443195","2024-09-21T23:48:19.000Z"
"401628369101866601","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283691","1","6","1","13","33","3","3","42","58","1","10","false","0","Pass Incompletion","Jackson Arnold pass incomplete","-1.1496266880203319","2024-09-21T23:48:30.000Z"
"401628369101868501","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283691","1","7","1","13","14","3","3","42","58","2","10","false","1","Rush","Jovantae Barnes run for 1 yd to the OU 43","-0.6792563640695226","2024-09-21T23:49:13.000Z"
"401628369101876301","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283691","1","8","1","12","36","3","3","43","57","3","9","false","7","Rush","Jackson Arnold run for 7 yds to the 50 yard line","0.395777348222036","2024-09-21T23:49:47.000Z"
"401628369101877801","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283691","1","9","1","12","21","3","3","50","50","4","2","false","0","Pass Incompletion","Jackson Arnold pass incomplete","-1.005191084092866","2024-09-21T23:50:10.000Z"
"401628369101879901","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283692","2","1","1","12","0","3","3","50","50","1","10","false","0","Pass Reception","Nico Iamaleava pass complete to Chris Brazzell II for no gain to the 50 yard line","-1.1143038065675127","2024-09-21T23:51:59.000Z"
"401628369101886401","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283692","2","2","1","11","35","3","3","50","50","2","10","false","8","Rush","Nico Iamaleava run for 8 yds to the OU 42","0.8233244266089327","2024-09-21T23:52:07.000Z"
"401628369101888401","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283692","2","3","1","11","15","3","3","42","42","3","2","false","0","Rush","Dylan Sampson run for no gain to the OU 42","-1.1544143744299566","2024-09-21T23:52:31.000Z"
"401628369101896301","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283692","2","4","1","10","36","3","3","42","42","4","2","false","0","Punt","Jackson Ross punt for 42 yds for a touchback","","2024-09-21T23:53:23.000Z"
"401628369101898601","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283693","3","1","1","10","13","3","3","20","80","1","10","false","-2","Rush","Jackson Arnold run for a loss of 2 yards to the OU 18","-0.6979456564143147","2024-09-21T23:56:43.000Z"
"401628369101905501","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283693","3","2","1","9","44","3","3","18","82","2","12","false","-4","Sack","Jackson Arnold sacked by Tyre West for a loss of 4 yards to the OU 14","-0.2571552243316111","2024-09-21T23:57:11.000Z"
"401628369101909301","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283693","3","3","1","9","6","3","3","14","86","3","16","false","9","Pass Reception","Jackson Arnold pass complete to Jake Roberts for 9 yds to the OU 23","0.0843064716793611","2024-09-21T23:57:49.000Z"
"401628369101914801","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283693","3","4","1","8","51","3","3","23","77","4","7","false","4","Punt","Luke Elzinga punt for 38 yds , Squirrel White returns for 4 yds to the TENN 43","","2024-09-22T00:00:21.000Z"
"401628369101916901","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283694","4","1","1","8","30","3","3","57","57","1","10","false","2","Rush","Dylan Sampson run for 2 yds to the TENN 45","-0.6861929923492785","2024-09-22T00:02:16.000Z"
"401628369101919701","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283694","4","2","1","8","2","3","3","55","55","2","8","false","2","Pass Reception","Nico Iamaleava pass complete to Holden Staes for 2 yds to the TENN 47","-0.6207869578278995","2024-09-22T00:02:39.000Z"
"401628369101926501","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283694","4","3","1","7","34","3","3","53","53","3","6","false","-7","Rush","Squirrel White run for a loss of 7 yards to the TENN 40","-1.36840083880793892","2024-09-22T00:04:08.000Z"
"401628369101926502","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283694","4","4","1","7","34","3","3","60","60","4","13","false","-15","Penalty","Tennessee Penalty, Personal Foul (-15 Yards) to the TENN 25","","2024-09-22T00:04:08.000Z"
"401628369101928001","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283694","4","5","1","7","19","3","3","75","75","4","28","false","0","Punt","Jackson Ross punt for 42 yds, fair catch by Peyton Bowen at the OU 33","","2024-09-22T00:05:13.000Z"
"401628369101934901","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283695","5","1","1","6","50","3","3","33","67","1","10","false","3","Pass Reception","Jackson Arnold pass complete to Deion Burks for 3 yds to the OU 36","-0.3884871214664028","2024-09-22T00:05:55.000Z"
"401628369101936401","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283695","5","2","1","6","35","3","3","36","64","2","7","false","11","Rush","Deion Burks run for 11 yds to the OU 47 for a 1ST down","1.7222443570342439","2024-09-22T00:06:13.000Z"
"401628369101937801","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","0","401628369","4016283695","5","3","1","6","21","3","3","47","53","1","10","false","17","Pass Interception Return","Jackson Arnold pass intercepted Jermod McCoy return for 17 yds to the 50 yard line","-2.9047005664266923","2024-09-22T00:07:22.000Z"
"401628369101939901","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283696","6","1","1","6","0","3","3","50","50","1","10","false","2","Rush","DeSean Bishop run for 2 yds to the OU 48","-0.630441223621050","2024-09-22T00:10:52.000Z"
"401628369101945901","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283696","6","2","1","5","40","3","3","48","48","2","8","false","38","Pass Reception","Nico Iamaleava pass complete to Bru McCoy for 38 yds to the OU 10 for a 1ST down","1.958026313492981","2024-09-22T00:11:09.000Z"
"401628369101954401","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283696","6","3","1","4","55","3","3","10","10","1","10","false","2","Rush","DeSean Bishop run for 2 yds to the OU 8","-0.162944112483623","2024-09-22T00:13:08.000Z"
"401628369101956401","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283696","6","4","1","4","35","3","3","8","8","2","8","false","0","Pass Incompletion","Nico Iamaleava pass incomplete to Chris Brazzell II","-0.269315229458190","2024-09-22T00:13:33.000Z"
"401628369101959901","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","0","0","401628369","4016283696","6","5","1","4","0","3","3","8","8","3","8","false","0","Rush","Nico Iamaleava run for no gain to the OU 8","-0.354205173792517","2024-09-22T00:14:44.000Z"
"401628369101965402","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","3","0","401628369","4016283696","6","6","1","3","45","3","3","8","8","4","8","true","27","Field Goal Good","Max Gilbert 27 yd FG GOOD","","2024-09-22T00:15:13.000Z"
"401628369101965403","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","3","0","401628369","4016283697","7","1","1","3","45","3","3","65","65","4","8","false","0","Kickoff","Josh Turbyville kickoff for 65 yds for a touchback","","2024-09-22T00:16:36.000Z"
"401628369101965901","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","2","1","3","40","3","3","25","75","1","10","false","0","Pass Incompletion","Jackson Arnold pass incomplete to Brenen Thompson","-0.70297002204365193","2024-09-22T00:17:21.000Z"
"401628369101966701","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","3","1","3","32","3","3","25","75","2","10","false","17","Rush","Jovantae Barnes run for 17 yds to the OU 42 for a 1ST down","2.21902192972565793","2024-09-22T00:18:02.000Z"
"401628369101968401","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","4","1","3","15","3","3","42","58","1","10","false","7","Rush","Deion Burks run for 7 yds to the OU 49","0.6896384238174758","2024-09-22T00:19:31.000Z"
"401628369101969901","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","5","1","3","0","3","3","49","51","2","3","false","6","Rush","Taylor Tatum run for 6 yds to the TENN 45 for a 1ST down","0.3955507031547717","2024-09-22T00:19:48.000Z"
"401628369101975401","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","6","1","2","45","3","3","55","45","1","10","false","4","Fumble Recovery (Own)","Taylor Tatum run for 4 yds to the TENN 41 Taylor Tatum fumbled, recovered by OU Taylor Tatum","-0.1162027181056828","2024-09-22T00:20:56.000Z"
"401628369101976901","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","7","1","2","30","3","3","59","41","2","6","false","11","Pass Reception","Jackson Arnold pass complete to Bauer Sharp for 11 yds to the TENN 30 for a 1ST down","0.7784736702499798","2024-09-22T00:21:22.000Z"
"401628369101984401","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","8","1","1","55","3","3","70","30","1","10","false","1","Penalty","Tennessee Penalty, Personal Foul (1 Yards) to the TENN 29 for a 1ST down","","2024-09-22T00:22:24.000Z"
"401628369101985302","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","9","1","1","46","3","3","71","29","1","10","false","0","Pass Incompletion","Jackson Arnold pass incomplete","-0.534372502378378","2024-09-22T00:22:58.000Z"
"401628369101986102","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","10","1","1","38","3","3","71","29","2","10","false","9","Pass Reception","Jackson Arnold pass complete to Deion Burks for 9 yds to the TENN 20","0.56616402140067","2024-09-22T00:24:16.000Z"
"401628369101989802","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","0","3","401628369","4016283697","7","11","1","1","1","3","3","80","20","3","1","false","0","Rush","Jovantae Barnes run for no gain to the TENN 20","-0.5987419901325343","2024-09-22T00:26:13.000Z"
"401628369101996601","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","3","3","401628369","4016283697","7","12","1","0","33","3","3","80","20","4","1","true","37","Field Goal Good","Tyler Keltner 37 yd FG GOOD","","2024-09-22T00:27:00.000Z"
"401628369101996602","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","3","3","401628369","4016283698","8","1","1","0","33","3","3","35","65","4","1","false","0","Kickoff","Zach Schmit kickoff for 65 yds for a touchback","","2024-09-22T00:27:00.000Z"
"401628369101996603","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","3","3","401628369","4016283698","8","2","1","0","33","3","3","75","75","1","10","false","-5","Penalty","Tennessee Penalty, False Start (-5 Yards) to the TENN 20","","2024-09-22T00:27:00.000Z"
"401628369101997901","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","3","3","401628369","4016283698","8","3","1","0","20","3","3","80","80","1","15","false","14","Pass Reception","Nico Iamaleava pass complete to Squirrel White for 14 yds to the TENN 34","1.99372633803827167","2024-09-22T00:28:41.000Z"
"401628369101999601","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","4016283698","8","4","1","0","3","3","3","66","66","2","1","true","66","Passing Touchdown","Nico Iamaleava pass complete to Dont'e Thornton Jr. for 66 yds for a TD (Max Gilbert KICK)","4.8254467599326976","2024-09-22T00:29:10.000Z"
"401628369101999603","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","4016283699","9","1","1","0","3","3","3","65","65","2","1","false","0","Kickoff","Josh Turbyville kickoff for 65 yds for a touchback","","2024-09-22T00:30:24.000Z"
"401628369101999901","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","3","10","401628369","4016283699","9","2","1","0","0","3","3","25","75","1","10","false","12","Pass Reception","Jackson Arnold pass complete to Brenen Thompson for 12 yds to the OU 37 for a 1ST down","1.0272443261435713","2024-09-22T00:31:50.000Z"
"401628369101999902","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","3","10","401628369","4016283699","9","3","1","0","0","3","3","25","75","0","10","false","12","End Period","End of 1st Quarter","","2024-09-22T00:31:50.000Z"
"401628369102854601","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","3","10","401628369","4016283699","9","4","2","14","53","3","3","37","63","1","10","false","0","Rush","Gavin Sawchuk run for no gain to the OU 37","-1.0657010802154590","2024-09-21T00:00:00.000Z"
"401628369102856601","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","3","10","401628369","4016283699","9","5","2","14","33","3","3","37","63","2","10","false","0","Pass Incompletion","Jackson Arnold pass incomplete","-0.66221376789578022","2024-09-21T00:00:00.000Z"
"401628369102857201","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","3","10","401628369","4016283699","9","6","2","14","27","3","3","37","63","3","10","false","0","Pass Incompletion","Jackson Arnold pass incomplete to Brenen Thompson","-0.34311801294884070","2024-09-21T00:00:00.000Z"
"401628369102857901","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","3","10","401628369","4016283699","9","7","2","14","20","3","3","37","63","4","10","false","0","Punt","Luke Elzinga punt for 63 yds for a touchback","","2024-09-22T00:37:17.000Z"
"401628369102857902","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","40162836910","10","1","2","14","20","3","3","80","80","1","10","false","-10","Penalty","Tennessee Penalty, Personal Foul (-10 Yards) to the TENN 10","","2024-09-22T00:37:17.000Z"
"401628369102858701","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","40162836910","10","2","2","14","12","3","3","90","90","1","20","false","0","Pass Incompletion","Nico Iamaleava pass incomplete","-0.10073317577211682","2024-09-22T00:38:29.000Z"
"401628369102864101","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","40162836910","10","3","2","13","58","3","3","90","90","2","20","false","5","Rush","Dylan Sampson run for 5 yds to the TENN 15","0.00525549795050575","2024-09-22T00:39:19.000Z"
"401628369102864901","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","40162836910","10","4","2","13","50","3","3","85","85","3","15","false","1","Sack","Nico Iamaleava sacked by Robert Spears-Jennings for a loss of 9 yards to the TENN 5 fumbled, forced by Robert Spears-Jennings, recovered by OU Ethan Downs return for 1 yd to the TENN 5","-0.0398555881073737","2024-09-22T00:40:56.000Z"
"401628369102865501","Oklahoma","SEC","Tennessee","SEC","Oklahoma","Tennessee","3","10","401628369","40162836911","11","1","2","13","44","3","3","95","5","1","0","false","0","Fumble Recovery (Opponent)","Jackson Arnold run for no gain to the TENN 6 Jackson Arnold fumbled, recovered by TENN Joshua Josephs","","2024-09-22T00:42:09.000Z"
"401628369102866401","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","40162836912","12","1","2","13","35","3","3","94","94","1","10","false","1","Rush","DeSean Bishop run for 1 yd to the TENN 7","-0.24672188323678767","2024-09-22T00:42:46.000Z"
"401628369102874801","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","40162836912","12","2","2","12","51","3","3","93","93","2","9","false","8","Rush","DeSean Bishop run for 8 yds to the TENN 15","0.27290276125791912","2024-09-22T00:43:19.000Z"
"401628369102878801","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","40162836912","12","3","2","12","11","3","3","85","85","3","1","false","7","Rush","DeSean Bishop run for 7 yds to the TENN 22 for a 1ST down","0.59852778041877298","2024-09-22T00:44:26.000Z"
"401628369102885401","Tennessee","SEC","Oklahoma","SEC","Oklahoma","Tennessee","10","3","401628369","40162836912","12","4","2","11","45","3","3","78","78","1","10","false","7","Pass Reception","Nico Iamaleava pass complete to Dont'e Thornton Jr. for 7 yds to the TENN 29","0.5574648631307815","2024-09-22T00:45:22.000Z"
